Posicao_Rank,Feature,Normalidade,Entropia,Var_Prop_Pca,Qnd_Outliers,Sep_mediana_norm,Comparacao_dis_whith,Corr_pearson,Correlacao_spearman,inf_mutua,divergencia_kl,Curva ROC,KS,MannWhitney_Score,Corr_pearson_abs,Corr_spearman_abs,Score_Final
1,V14,0.0,0.5538647513121875,0.2394563957305265,0.3612848862446697,1.0,1.471581e-260,-0.302544,-0.064613,0.9846405640186325,1.0,1.0,1.0,1.0000000000000002,0.926500571119763,1.0,0.9711223569858525
2,V12,0.0,0.5853710259252682,0.26017954206750954,0.3919005183463984,0.7969894399034114,8.416027e-247,-0.260593,-0.06287,0.9172856603298501,0.663488490353876,0.9721176121449426,0.9249268453631362,0.9469357293885418,0.7976885002272197,0.9721253798176875,0.8634957610688891
3,V10,0.0,0.45429469551743384,0.3089755732647843,0.24247376350126393,0.5794517349340296,9.611131000000001e-222,-0.216883,-0.059564,0.9083469721767594,0.7633573445335939,0.9192445989376168,0.9508930789407641,0.8502841607968921,0.6634753558751642,0.9192547577162962,0.8498107010938273
4,V4,0.0,0.717355016321956,0.5224925871744518,0.28465643592166073,0.41504084082117315,3.625904e-248,0.133447,0.063045,0.5868059926979731,0.6033859007573902,0.9749196540927527,0.902628216479125,0.9522034248147939,0.4072820840344391,0.9749240364624981,0.787461836104506
5,V11,0.0,0.7181118589881001,0.27150636674253925,0.01991675816459413,0.4978469761276609,4.910592e-226,0.154876,0.060143,0.8203449578244996,0.4839884881190913,0.9285065208439254,0.889459744885545,0.8668377287692846,0.4730806077205566,0.9285143131296978,0.7725208629722676
6,V17,0.0,0.4792496799916708,0.18796456584070328,0.1894645456170365,0.870823266098203,9.219384e-124,-0.326481,-0.044335,0.9999999999999999,0.7862554537759283,0.6757062042914033,0.8755817019775001,0.4723516567360917,1.0,0.675707660323045,0.7609084174768544
7,V3,0.0,0.5170066818964092,0.5992213098436506,0.08587186885580778,0.4864155327530999,1.2110480000000001e-219,-0.192961,-0.059278,0.5837844643081959,0.47581645698378167,0.9146803532689343,0.8227256455888742,0.8421826211914046,0.5900219850403468,0.9146809531424915,0.7253981518303032
8,V16,0.0,0.538713352156152,0.2000718270811488,0.20897275489620304,0.5804741436383853,1.808172e-156,-0.196539,-0.049936,0.7338537076671283,0.5122756005767763,0.7652795255393012,0.8008448612132012,0.5985097494003622,0.6010083641410481,0.7652806652806653,0.6774277527695355
9,V7,0.0,0.19845783545753548,0.3988583611777429,0.2284809641753696,0.3467056115017776,1.4642339999999999e-146,-0.187257,-0.048308,0.4578874480674807,0.4632542993293772,0.7392398598518921,0.7678147623955229,0.5602915241953008,0.5725076456355396,0.7392451623220854,0.6025006631644584
10,V2,0.0,0.38059157137870003,0.7107360176922453,0.3453770140183336,0.22155444280078196,1.6504380000000002e-163,0.091289,0.051062,0.36673800830920306,0.39280393541270203,0.7832788491843483,0.7329387590272886,0.6256628075393454,0.27783441211510823,0.7832880217495602,0.5901559302282889
11,V9,0.0,0.6092196083955488,0.314553667911664,0.21150065112478614,0.2725118564384982,8.943723e-154,-0.097733,-0.049499,0.49880397834571316,0.2305975627004908,0.7582836227779786,0.6604771325675399,0.5881174711000526,0.29762094842727127,0.7582920198304814,0.5477146357125937
12,V18,0.0,0.7068282734249163,0.18305491326956053,0.1923499221203687,0.274983235116984,2.648962e-77,-0.111485,-0.034872,0.5038398589953418,0.2057895054796201,0.5243752343661936,0.567532207785921,0.2931540228617501,0.3398469644677532,0.5243723012953783,0.4292617634175585
13,V1,0.0,0.5033259430293306,0.9999999999999998,0.18032326430559456,0.16447297045251658,1.7407850000000002e-113,-0.101347,-0.042424,0.22812539342817575,0.09483547009994966,0.6451345003140221,0.5318256110657456,0.4327152579320616,0.30871786683697905,0.6451463297617145,0.4254826875335976
14,V21,0.0,0.20777589617643644,0.1405611757082189,0.3701708245027194,0.11330156429528405,8.673355e-80,0.040413,0.035442,0.26904192370640817,0.40032874404664154,0.5334876220142037,0.5868536945480208,0.30273864931255007,0.12161780419803729,0.5334879257956181,0.4212709479639637
15,V6,0.0,0.33343107112453074,0.46260549652612787,0.5863953221152618,0.11579970983582516,2.2310020000000002e-93,-0.043643,-0.03841,0.26098451466700234,0.1965408848103987,0.5809474950711211,0.5459584372105821,0.35515632096616,0.13153563664500914,0.580953142491604,0.40574253349543854
16,V27,0.0,0.11863214047293869,0.04238895301735025,1.0,0.13161436924886205,1.4145889999999998e-51,0.01758,0.028311,0.2680347475764824,0.5406536183111631,0.4194504961086587,0.5244509102768092,0.1939185886232021,0.051508247460666415,0.4194466656005117,0.39064888349445565
17,V5,0.0,0.2677598498257563,0.4965285313172401,0.3139442841457498,0.14432635069430108,3.053712e-58,-0.094974,-0.030147,0.2613622057157245,0.241825986394342,0.44881672391144845,0.4822842845877799,0.21962969049703307,0.28914933860646774,0.44880857188549494,0.35383069961597163
18,V28,0.0,0.06535412213600211,0.028321788207524984,0.7747618926027117,0.05103515143921715,1.203683e-27,0.009536,0.020417,0.1958957572705527,0.3661402859457559,0.2932067736718482,0.3956770928213549,0.1016170753867332,0.02680885297043687,0.29320326243403166,0.2730390593253007
19,V8,0.0,0.2201680273400417,0.3717685123566852,0.6162449250568138,0.06420373568577982,8.509891e-34,0.019875,0.022706,0.199294976709052,0.16484284200605237,0.3298150606303907,0.3955981100179495,0.1253409113504183,0.058555128409830626,0.32980969134815286,0.26180111527034416
20,V20,0.0,0.1315131647445753,0.15484616098831372,0.7090876592702295,0.05688997538302952,1.1281039999999999e-30,0.02009,0.021574,0.11230013848671785,0.19521479237191547,0.31170991274100923,0.3899317308317017,0.11329720100730283,0.05921529372750831,0.31170638093715014,0.23968967057038426
21,V19,0.0,0.7266724645847242,0.17265985390887603,0.2605775859867732,0.10532446989511093,2.4019600000000003e-33,0.034783,0.022546,0.14566284779050737,0.10165668198479452,0.3272591750770102,0.35265057370815345,0.1236027114766591,0.10433068448396565,0.32725091955861185,0.23256142982946484
22,valor_de_transacao,0.0,0.0,0.0,0.8146464775425785,0.0,8.578472e-06,0.005632,-0.008339,0.15321666876495027,0.17691370746321505,0.10004071932879843,0.2717696351886224,0.017326833203491383,0.014821479015954505,0.10004797697105387,0.14272051184562307
23,tempo_desde_a_primeira_transacao,0.0,1.0000000000000002,0.0,0.0,0.020152884342951843,4.386159e-10,-0.012323,-0.011692,0.2034495782449956,0.0021969375951495645,0.1536729064628708,0.1420811459130858,0.0338791858691831,0.035366437809356534,0.15367023828562287,0.11631362778712845
24,V24,0.0,0.7692445966057684,0.09553794886818671,0.12190077368945178,0.016691843653050212,9.423066e-07,-0.007221,-0.009188,0.04116832431071383,0.10398835547380247,0.11362763209051208,0.09087481098268622,0.021026694584283433,0.01970056129404684,0.11362545977930592,0.088549599270051
25,V23,0.0,0.1562729288264728,0.10157059053540814,0.4734315552945382,0.006875524125058196,0.007419609,-0.002685,-0.005017,0.05627596625959964,0.1183853435029977,0.04692615078114404,0.1580700679379501,0.005998449852933702,0.005772608359228189,0.04692147769070845,0.08220780485110706
26,V26,0.0,0.76963564984658,0.06053822885441092,0.1428899726782933,0.009438024036072617,0.003531905,0.004455,0.005466,0.02329094800453229,0.09814763737834661,0.05411299728767882,0.04192585553026125,0.007241892012234012,0.011207457718714304,0.05410203102510795,0.0559229633883185
27,V25,0.0,0.5535070769306152,0.07075352023595427,0.13704261675561116,0.012395192785476412,0.01246293,0.003308,0.004682,0.02329094800453229,0.07110652555707056,0.04157282433405518,0.038562716804610556,0.0051296652404662505,0.00768555251231285,0.041564049256356955,0.044904614460110584
28,V13,0.0,0.7752573846898219,0.2581377655593231,0.08599954038250389,0.00018380861124122749,0.05121481,-0.00457,-0.003653,0.0117084225103865,0.013919392899814885,0.02511945486711009,0.05765872040214988,0.002762231941066999,0.011560569400262838,0.025107948184871255,0.039084749195504656
29,V15,0.0,0.747349902313247,0.218314992433162,0.07389627965171207,0.009155975346011525,0.1295082,-0.004223,-0.002841,0.0,0.03203362096695244,0.0121260780844894,0.007077878318073938,0.001208173423070546,0.010495093282894656,0.012122181352950581,0.025553114442389162
30,V22,0.0,0.5874353093209701,0.1372029432280064,0.033628680131757016,0.0009230296101292636,0.2663947,0.000805,0.002083,0.0047840866171471735,0.0,0.0,0.0,0.0,0.0,0.0,0.010913118967685926
